Date-Time,Region,Facility,Entrance,Entries,Exits
12/11/19 10:00 PM,UC Berkeley,ENGI Library,ENGI,70,80
12/11/19 10:00 PM,UC Berkeley,ENVI Library,ENVI,29,70
12/11/19 10:00 PM,UC Berkeley,GRDS Library,GRAD,0,0
12/11/19 10:00 PM,UC Berkeley,HAAS Library,HAAS 2F,22,59
12/11/19 10:00 PM,UC Berkeley,HAAS Library,HAAS 3F,6,15
12/11/19 10:00 PM,UC Berkeley,MATH Library,MATH,2,3
12/11/19 10:00 PM,UC Berkeley,MOFF Library,Moffit Entry,212,5
12/11/19 10:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,240
12/11/19 10:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,93,119
12/11/19 10:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 10:00 PM,UC Berkeley,MUSI,MUSI,0,0
12/11/19 10:00 PM,UC Berkeley,NEWS Library,News,0,0
12/11/19 10:00 PM,UC Berkeley,OPTO Library,OPTO,0,0
12/11/19 10:00 PM,UC Berkeley,PHYS Library,PHYS,0,0
12/11/19 10:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 10:00 PM,UC Berkeley,SOCR Library,SOCR,2,0
12/11/19 11:00 PM,,,TEST,0,0
12/11/19 11:00 PM,UC Berkeley,AHC Library,AHC Back,0,0
12/11/19 11:00 PM,UC Berkeley,AHC Library,AHC Front,0,0
12/11/19 11:00 PM,UC Berkeley,ANTH Library,ANTH,0,0
